Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type
Panchayat,2020-04-03,TV-14,9.0,102532.0,"Comedy, Drama",2020,series
Tandav,2021-01-15,TV-14,4.7,65041.0,"Drama, Thriller",2021,series
Farzi,2023-02-10,TV-MA,8.3,50400.0,"Crime, Drama, Thriller",2023,series
Sapne Vs Everyone,2023-12-08,N/A,9.3,70672.0,Drama,2023,series
Call Me Bae,2024-09-06,N/A,6.0,6826.0,Romance,2024,series
Dupahiya,2025-03-07,N/A,7.5,4908.0,Comedy,2025,series
Andhera,2025-08-14,TV-MA,6.0,7074.0,Horror,2025,series
Daldal,2026-01-30,N/A,5.3,1807.0,"Crime, Drama, Thriller",2026,series
Bandwaale,2026-02-13,N/A,7.1,77.0,"Comedy, Drama",2026,series
Maa Ka Sum,2026-04-03,N/A,6.0,184.0,"Comedy, Drama, Family",2026,series
Matka King,2026-04-17,N/A,7.2,2146.0,"Crime, Drama",2026,series
Lukkhe,2026-05-08,N/A,5.2,231.0,"Action, Drama, Music",2026,series
Raakh,2026-06-13,Not Rated,7.1,1224.0,"Action, Crime, Drama",1989,movie
The Silent Service,2024-02-09,N/A,6.5,308.0,"Action, Drama, Thriller",2023,movie
Red Queen,2024-02-29,N/A,6.8,6354.0,"Crime, Drama, Thriller",2024,series
"Betty, la fea: The Story Continues",2024-07-19,TV-14,6.6,713.0,Comedy,2024,series
Every Minute Counts,2024-11-08,N/A,7.4,272.0,Drama,2024,series
Her Majesty,2025-02-27,PG,6.9,481.0,Family,2001,movie
Menem,2025-07-09,N/A,7.5,433.0,Drama,2025,series
Animal Love,2026-03-20,N/A,7.0,828.0,Documentary,1996,movie
The House of the Spirits,2026-04-29,R,6.9,26147.0,"Drama, Romance",1993,movie
New Bandits,2023-08-18,18+,8.3,3334.0,"Action, Crime, Drama",2023,series
That Cover Girl,2023-10-19,TV-14,9.2,876.0,"Drama, Romance",2023,series
Maxton Hall—The World Between Us,2024-05-09,TV-MA,7.5,22556.0,"Drama, Romance",2024,series
The Grand Tour,2016-11-18,TV-14,8.7,93882.0,"Adventure, Comedy, Sport",2016,series
Clarkson's Farm,2021-06-11,TV-PG,9.0,87018.0,"Documentary, Comedy, Reality-TV",2021,series
One Night in Idaho: The College Murders,2025-07-11,TV-14,7.1,2020.0,"Documentary, Crime",2025,series
LOL: Last One Laughing Italy,2021-02-26,N/A,7.2,2168.0,Comedy,2021,series
LOL: Last One Laughing Germany,2021-04-01,TV-14,7.5,3899.0,"Comedy, Reality-TV",2021,series
"LOL: Qui rit, sort!",2021-04-22,N/A,6.2,709.0,Comedy,2021,series
LOL: Last One Laughing Brazil,2021-12-03,N/A,6.8,436.0,"Comedy, Game-Show, Reality-TV",2021,series
LOL: Last One Laughing Netherlands,2023-01-20,N/A,6.8,451.0,Comedy,2023,series
LOL: Last One Laughing Argentina,2023-03-17,N/A,3.2,107.0,Comedy,2023,series
LOL: Last One Laughing Colombia,2023-08-11,N/A,3.6,72.0,Game-Show,2023,series
007: Road to a Million,2023-11-10,TV-MA,6.7,1976.0,"Adventure, Game-Show, Reality-TV",2023,series
Beast Games,2024-12-19,TV-PG,5.9,22494.0,Game-Show,2024,series
June Farms,2025-11-17,N/A,6.6,51.0,Reality-TV,2025,series
Trainer Games,2026-01-08,N/A,7.7,33.0,Reality-TV,2026,series
American Gladiators,2026-04-17,TV-PG,6.6,3374.0,"Action, Game-Show, Sport",1989,series
Punto Nemo,2025-03-28,N/A,5.3,381.0,"Action, Adventure, Drama",2025,series
Snake Killer,2026-01-15,TV-MA,7.4,771.0,"Crime, Thriller",2026,series
Vaka,2026-01-30,N/A,5.7,760.0,Thriller,2026,series
"Pesci piccoli – Un'agenzia, molte idee, poco budget",2023-06-08,N/A,6.9,507.0,Comedy,2023,series
In the Name of Love,2025-09-05,N/A,7.3,407.0,"Drama, Romance",2008,series
The 50,2024-03-11,N/A,2.8,194.0,N/A,2026,series
The Assassin,2025-07-25,Not Rated,6.3,18711.0,"Action, Drama, History",2015,movie
