Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type
Gatham,2020-11-06,N/A,6.0,1010.0,Thriller,2020,movie
Soorarai Pottru,2020-11-12,TV-MA,8.7,127179.0,Drama,2020,movie
Chhalaang,2020-11-13,TV-14,6.7,20011.0,"Comedy, Drama, Sport",2020,movie
Historias lamentables,2020-11-19,N/A,6.6,1974.0,Comedy,2020,movie
Middle Class Melodies,2020-11-20,Not Rated,7.5,4051.0,"Comedy, Drama, Romance",2020,movie
Force of Nature,2020-11-23,R,4.6,14222.0,"Action, Adventure, Crime",2020,movie
Uncle Frank,2020-11-25,R,7.3,24162.0,"Comedy, Drama",2020,movie
Bombhaat,2020-12-03,Not Rated,4.5,1708.0,"Action, Comedy, Sci-Fi",2020,movie
Sound of Metal,2020-12-04,R,7.7,183644.0,"Drama, Music",2019,movie
IIT Krishnamurthy,2020-12-10,N/A,5.9,524.0,"Drama, Mystery",2020,movie
I'm Your Woman,2020-12-11,R,6.2,10352.0,"Crime, Drama",2020,movie
Durgamati,2020-12-11,TV-MA,4.0,5710.0,"Horror, Thriller",2020,movie
Guvva Gorinka,2020-12-17,N/A,5.1,183.0,Romance,2020,movie
Unpaused,2020-12-18,N/A,7.0,2722.0,"Drama, Romance",2020,movie
Sylvie's Love,2020-12-23,PG-13,6.8,6841.0,"Drama, Music, Romance",2020,movie
Coolie No. 1,2020-12-25,TV-14,4.2,74728.0,"Action, Comedy, Romance",2020,movie
Maara,2021-01-08,N/A,7.5,4250.0,"Adventure, Mystery, Romance",2021,movie
One Night in Miami...,2021-01-15,R,7.1,35125.0,Drama,2020,movie
Bliss,2021-02-05,R,5.4,21421.0,"Drama, Romance, Sci-Fi",2021,movie
The Map of Tiny Perfect Things,2021-02-12,PG-13,6.8,32443.0,"Comedy, Fantasy, Romance",2021,movie
Drishyam 2,2021-02-19,Not Rated,8.2,50543.0,"Crime, Drama, Mystery",2022,movie
Coming 2 America,2021-03-04,PG-13,5.3,80613.0,"Comedy, Music",2021,movie
Our Friend,2021-03-18,R,7.3,16090.0,"Drama, Romance",2019,movie
Joji,2021-04-07,N/A,7.8,11968.0,"Crime, Drama",2021,movie
Hello Charlie,2021-04-09,N/A,5.3,4474.0,Comedy,2021,movie
Well Done Baby,2021-04-09,N/A,4.3,115.0,Drama,2021,movie
Without Remorse,2021-04-30,R,5.8,70410.0,"Action, Drama, Thriller",2021,movie
Pachchis,2021-06-12,N/A,5.6,292.0,"Action, Drama, Thriller",2021,movie
Sherni,2021-06-18,N/A,6.8,11641.0,"Action, Adventure, Drama",2021,movie
Cold Case,2021-06-30,TV-14,7.7,34644.0,"Crime, Drama, Mystery",2003,series
The Tomorrow War,2021-07-02,PG-13,6.6,251689.0,"Action, Adventure, Drama",2021,movie
Sara's,2021-07-05,TV-MA,5.9,2942.0,"Adventure, Drama, Mystery",2018,movie
Malik,2021-07-15,N/A,8.0,14286.0,"Action, Biography, Crime",2021,movie
Toofaan,2021-07-16,N/A,6.1,52168.0,"Action, Drama, Sport",2021,movie
Narappa,2021-07-20,N/A,7.6,4299.0,"Action, Drama",2021,movie
Ikkat,2021-07-21,N/A,6.9,746.0,"Comedy, Drama, Romance",2021,movie
Sarpatta Parambarai,2021-07-22,N/A,8.5,26459.0,"Action, Drama, Sport",2021,movie
Jolt,2021-07-23,R,5.6,39024.0,"Action, Comedy, Crime",2021,movie
Kuruthi,2021-08-11,N/A,7.5,6322.0,Thriller,2021,movie
Shershaah,2021-08-12,TV-14,8.3,134790.0,"Action, Biography, Drama",2021,movie
Home,2021-08-19,PG,6.5,120478.0,"Animation, Adventure, Comedy",2015,movie
Cinderella,2021-09-03,PG,6.9,204139.0,"Adventure, Drama, Family",2015,movie
The Voyeurs,2021-09-10,R,6.1,44090.0,"Drama, Mystery, Romance",2021,movie
Tuck Jagadish,2021-09-10,N/A,5.6,3458.0,"Action, Drama",2021,movie
Everybody's Talking About Jamie,2021-09-17,PG-13,6.6,8143.0,"Biography, Comedy, Drama",2021,movie
The Mad Women's Ball,2021-09-17,N/A,6.7,4727.0,"Drama, Thriller",2021,movie
Sunny,2021-09-23,TV-MA,6.5,11439.0,"Comedy, Drama, Mystery",2024,series
Birds of Paradise,2021-09-24,R,5.9,3092.0,Drama,2021,movie
Raame Aandalum Raavane Aandalum,2021-09-24,N/A,6.3,481.0,"Comedy, Drama",2021,movie
Bingo Hell,2021-10-01,Not Rated,4.3,2934.0,"Comedy, Horror",2021,movie
Black as Night,2021-10-01,Not Rated,4.5,2437.0,"Drama, Horror, Thriller",2021,movie
Bhramam,2021-10-07,N/A,5.7,1631.0,"Crime, Thriller",2021,movie
Madres,2021-10-08,Not Rated,4.9,1879.0,Horror,2021,movie
The Manor,2021-10-08,Not Rated,5.3,7964.0,"Horror, Mystery",2021,movie
Udanpirappe,2021-10-14,N/A,5.1,960.0,Drama,2021,movie
Sardar Udham,2021-10-16,TV-MA,8.3,49981.0,"Crime, Drama, History",2021,movie
Jai Bhim,2021-11-02,Approved,8.6,233149.0,"Crime, Drama",2021,movie
Jivan Sandhya,2021-11-09,N/A,8.2,286.0,"Drama, Family",2021,movie
Flashback,2021-11-11,R,5.4,7654.0,"Drama, Mystery, Thriller",2020,movie
The Green Knight,2021-11-17,R,6.6,127213.0,"Adventure, Drama, Fantasy",2021,movie
Dhummas,2021-11-23,N/A,7.2,151.0,"Romance, Thriller",2021,movie
Drushyam 2,2021-11-25,N/A,8.1,2098.0,"Crime, Drama, Mystery",2021,movie
Chhorii,2021-11-26,N/A,6.7,7095.0,"Drama, Horror, Thriller",2021,movie
Bali,2021-12-09,N/A,6.5,368.0,Horror,2021,movie
Encounter,2021-12-10,R,5.9,11467.0,"Drama, Sci-Fi, Thriller",2021,movie
Being the Ricardos,2021-12-21,R,6.5,46871.0,"Biography, Drama",2021,movie
The Tender Bar,2022-01-07,R,6.7,36714.0,"Biography, Drama, Romance",2021,movie
One Cut Two Cut,2022-02-03,N/A,4.6,561.0,Comedy,2022,movie
Book of Love,2022-02-04,N/A,5.5,4397.0,"Comedy, Romance",2022,movie
Mahaan,2022-02-10,N/A,7.6,18076.0,"Action, Drama, Thriller",2022,movie
Gehraiyaan,2022-02-11,N/A,5.8,44792.0,"Drama, Romance",2022,movie
Homestay,2022-02-11,N/A,7.1,1671.0,"Drama, Fantasy, Thriller",2018,movie
I Want You Back,2022-02-11,R,6.5,26284.0,"Comedy, Romance",2022,movie
Family Pack,2022-02-17,TV-MA,5.5,10535.0,"Adventure, Comedy, Fantasy",2024,movie
One Night Off,2022-02-21,N/A,5.4,1043.0,Comedy,2021,movie
Master,2022-03-18,Not Rated,7.4,85662.0,"Action, Crime, Drama",2021,movie
Jalsa,2022-03-18,N/A,6.6,7047.0,"Drama, Thriller",2022,movie
S.O.S. Mamis: La película,2022-03-18,N/A,4.4,183.0,Comedy,2022,movie
Achcham Madam Naanam Payirppu,2022-03-25,N/A,4.1,2083.0,"Comedy, Drama",2022,movie
Sharmaji Namkeen,2022-03-31,N/A,7.5,11384.0,"Comedy, Drama, Family",2022,movie
All the Old Knives,2022-04-08,R,6.1,31887.0,"Mystery, Thriller",2022,movie
Oh My Dog,2022-04-21,N/A,6.4,772.0,"Drama, Family",2022,movie
I Love America,2022-04-29,N/A,4.8,719.0,Comedy,2022,movie
Saani Kaayidham,2022-05-06,N/A,7.5,3802.0,"Action, Crime, Drama",2022,movie
Emergency,2022-05-20,N/A,5.2,11245.0,"Biography, Drama, History",2025,movie
The Contractor,2022-06-15,R,5.8,34751.0,"Action, Drama, Thriller",2022,movie
My Fake Boyfriend,2022-06-27,R,5.2,3075.0,"Comedy, Romance",2022,movie
Don't Make Me Go,2022-07-15,R,6.7,3922.0,Drama,2022,movie
1Up,2022-07-15,R,3.5,1837.0,"Comedy, Sport",2022,movie
Anything's Possible,2022-07-22,PG-13,5.8,1934.0,"Drama, Romance",2022,movie
Thirteen Lives,2022-08-05,PG-13,7.8,77224.0,"Biography, Drama, Thriller",2022,movie
Doblemente Embarazada 2,2022-08-05,N/A,4.6,116.0,Comedy,2022,movie
Samaritan,2022-08-26,PG-13,5.7,60991.0,"Action, Drama, Fantasy",2022,movie
Goodnight Mommy,2022-09-16,R,6.7,63611.0,"Horror, Mystery, Thriller",2014,movie
My Best Friend's Exorcism,2022-09-30,R,5.3,7356.0,"Comedy, Horror, Thriller",2022,movie
Maja Ma,2022-10-06,N/A,6.2,2890.0,"Comedy, Drama",2022,movie
Catherine Called Birdy,2022-10-07,PG-13,6.6,8895.0,Adventure,2022,movie
Ammu,2022-10-19,N/A,6.7,1324.0,Drama,2022,movie
Perfect Strangers,2022-10-20,N/A,7.7,76299.0,"Comedy, Drama, Thriller",2016,movie
"Argentina, 1985",2022-10-21,R,7.6,34313.0,"Biography, Crime, Drama",2022,movie
Run Sweetheart Run,2022-10-28,R,5.5,8107.0,"Horror, Thriller",2020,movie
My Policeman,2022-11-04,R,6.5,23579.0,"Drama, Romance",2022,movie
Overdose,2022-11-04,N/A,5.8,2417.0,"Action, Crime, Thriller",2022,movie
La Caída,2022-11-11,N/A,7.0,122.0,Drama,1959,movie
The People We Hate at the Wedding,2022-11-18,R,5.8,11877.0,Comedy,2022,movie
Sachertorte,2022-11-18,N/A,6.8,1354.0,"Comedy, Drama, Romance",2022,movie
Your Christmas or Mine?,2022-12-02,N/A,6.4,11012.0,"Comedy, Romance",2022,movie
Tomorrow Is Today,2022-12-02,PG-13,7.1,260.0,"Drama, Romance",2006,movie
Hawa,2022-12-09,N/A,7.6,6731.0,"Drama, Mystery",2022,movie
Something from Tiffany's,2022-12-09,PG,6.2,12708.0,"Comedy, Family, Romance",2022,movie
Nanny,2022-12-16,R,5.3,8685.0,"Drama, Horror",2022,movie
Scandal Makers,2023-01-19,N/A,7.2,4475.0,"Comedy, Drama, Music",2008,movie
In Your Dreams,2023-02-03,N/A,5.8,2437.0,"Comedy, Drama, Romance",2023,movie
Somebody I Used to Know,2023-02-10,R,5.7,8828.0,"Comedy, Romance",2023,movie
Ten Little Mistresses,2023-02-15,N/A,5.6,304.0,"Comedy, Mystery",2023,movie
Innocent Vengeance,2023-02-16,N/A,6.4,411.0,"Drama, Mystery, Thriller",2023,movie
Sayen,2023-03-03,N/A,4.7,1295.0,"Action, Thriller",2023,movie
Perfect Addiction,2023-03-23,R,5.5,4496.0,"Action, Drama, Romance",2023,movie
On a Wing and a Prayer,2023-04-07,PG,5.5,6133.0,Drama,2023,movie
Gangs of Lagos,2023-04-07,N/A,5.8,2888.0,"Crime, Thriller",2023,movie
The Seed,2023-05-03,N/A,4.8,2717.0,"Comedy, Horror, Sci-Fi",2021,movie
Beautiful Disaster,2023-05-05,R,5.3,15484.0,"Comedy, Drama, Romance",2023,movie
Mother's Day Is Cancelled,2023-05-05,N/A,4.4,243.0,Comedy,2023,movie
Air,2023-05-12,R,7.4,190839.0,"Drama, Sport",2023,movie
Ang Mga Kaibigan ni Mama Susan,2023-05-18,N/A,5.1,153.0,"Horror, Thriller",2023,movie
Medellin,2023-06-02,N/A,4.9,2203.0,"Action, Comedy",2023,movie
My Fault,2023-06-08,R,4.2,7120.0,"Crime, Drama, Thriller",2024,movie
200 Pounds Beauty,2023-06-22,Not Rated,6.7,9175.0,"Comedy, Drama, Music",2006,movie
Tiku Weds Sheru,2023-06-23,N/A,3.4,2972.0,"Comedy, Drama, Romance",2023,movie
Why Do You Love Me,2023-06-28,TV-MA,5.8,215.0,"Comedy, Drama",2023,movie
The Hottest Summer,2023-07-06,N/A,5.5,514.0,"Comedy, Drama, Romance",2023,movie
The Initiated,2023-07-07,N/A,5.5,874.0,"Crime, Drama, Thriller",2023,movie
Robots,2023-07-17,PG,6.4,173700.0,"Animation, Adventure, Comedy",2005,movie
Bawaal,2023-07-21,N/A,6.6,16759.0,"Action, Drama, Romance",2023,movie
"Red, White & Royal Blue",2023-08-11,PG-13,4.8,78378.0,Comedy,2003,movie
Sitting in Bars with Cake,2023-09-08,PG-13,6.4,3557.0,"Comedy, Drama, Romance",2023,movie
Sentinelle,2023-09-08,TV-MA,4.8,8999.0,"Action, Drama, Thriller",2021,movie
A Million Miles Away,2023-09-15,PG,7.3,24999.0,"Biography, Drama",2023,movie
Cassandro,2023-09-22,R,6.5,4374.0,"Biography, Drama, Sport",2023,movie
Totally Killer,2023-10-06,R,6.5,66773.0,"Comedy, Horror, Mystery",2023,movie
Awareness,2023-10-11,N/A,5.4,3514.0,"Mystery, Sci-Fi, Thriller",2023,movie
In My Mother's Skin,2023-10-12,N/A,5.4,940.0,"Action, Fantasy, Horror",2023,movie
The Burial,2023-10-13,R,7.1,40702.0,Drama,2023,movie
Pippa,2023-11-10,N/A,6.2,2747.0,"Action, Drama, History",2023,movie
Bihter,2023-11-16,N/A,3.6,4217.0,"Drama, History",2023,movie
Congrats My Ex!,2023-11-16,N/A,6.1,583.0,"Comedy, Romance",2023,movie
Candy Cane Lane,2023-12-01,PG,5.6,22025.0,"Comedy, Family, Fantasy",2023,movie
Your Christmas or Mine 2,2023-12-08,N/A,5.8,4160.0,Comedy,2023,movie
Merry Little Batman,2023-12-08,TV-Y7,6.4,4466.0,"Animation, Comedy, Family",2023,movie
Mast Mein Rehne Ka,2023-12-08,N/A,7.1,3573.0,"Comedy, Drama",2023,movie
Silver and the Book of Dreams,2023-12-08,N/A,5.5,2719.0,"Drama, Fantasy, Romance",2023,movie
Dry Day,2023-12-22,N/A,5.4,1459.0,Comedy,2023,movie
Saltburn,2023-12-22,R,7.0,264578.0,"Drama, Thriller",2023,movie
Foe,2024-01-05,R,5.4,12670.0,"Drama, Romance, Sci-Fi",2023,movie
Landscape with Invisible Hand,2024-01-09,R,5.9,4189.0,"Comedy, Drama, Sci-Fi",2023,movie
Role Play,2024-01-12,R,5.5,20120.0,"Action, Comedy, Romance",2024,movie
The Underdoggs,2024-01-26,R,5.6,4413.0,"Comedy, Sport",2024,movie
Trunk – Locked in,2024-01-26,N/A,5.3,1831.0,"Drama, Thriller",2023,movie
Upgraded,2024-02-09,R,6.1,31957.0,"Comedy, Romance",2024,movie
Still Fabulous,2024-02-12,N/A,4.9,872.0,"Comedy, Romance",2024,movie
Five Blind Dates,2024-02-13,N/A,5.0,1808.0,"Comedy, Romance",2024,movie
Ricky Stanicky,2024-03-07,R,6.2,57141.0,Comedy,2024,movie
Sirens,2024-03-15,TV-MA,6.7,35443.0,"Comedy, Drama",2025,series
Ae Watan Mere Watan,2024-03-21,N/A,4.7,1322.0,"Biography, Drama, History",2024,movie
Road House,2024-03-21,R,6.2,182249.0,"Action, Drama, Thriller",2024,movie
The Boys in the Boat,2024-03-29,PG-13,7.0,29396.0,"Biography, Drama, History",2023,movie
Música,2024-04-04,PG-13,6.4,5151.0,"Comedy, Music, Romance",2024,movie
How to Date Billy Walsh,2024-04-05,N/A,5.2,4199.0,"Comedy, Romance",2024,movie
Sayen: The Huntress,2024-04-26,N/A,4.1,205.0,Action,2024,movie
The Idea of You,2024-05-02,R,6.3,82785.0,"Comedy, Drama, Music",2024,movie
Water & Garri,2024-05-10,PG-13,7.6,15660.0,Drama,2005,movie
Beautiful Wedding,2024-05-17,R,4.1,4475.0,"Comedy, Romance",2024,movie
Arthur the King,2024-05-24,PG-13,7.0,38268.0,"Adventure, Drama, Sport",2024,movie
Sharmajee Ki Beti,2024-06-28,N/A,6.4,5092.0,"Comedy, Drama",2024,movie
Space Cadet,2024-07-04,PG-13,5.0,10547.0,Comedy,2024,movie
Divorce in the Black,2024-07-11,R,4.6,3424.0,"Drama, Thriller",2024,movie
My Spy: The Eternal City,2024-07-18,PG-13,5.7,11362.0,"Action, Comedy",2024,movie
One Fast Move,2024-08-08,R,5.0,2411.0,Action,2024,movie
The Shakedown,2024-08-08,N/A,6.7,331.0,"Crime, Drama",1960,movie
Jackpot!,2024-08-15,R,5.8,32948.0,"Action, Comedy",2024,movie
Killer Heat,2024-09-26,R,5.6,14633.0,"Crime, Drama, Mystery",2024,movie
The Initiated: Written from the shadows,2024-09-27,N/A,7.0,15.0,Drama,2024,movie
House of Spoils,2024-10-03,R,5.0,3858.0,"Drama, Horror, Thriller",2024,movie
Brothers,2024-10-17,R,7.1,170197.0,"Drama, Thriller, War",2009,movie
The Park Maniac,2024-10-18,N/A,4.9,1280.0,"Crime, Drama",2024,movie
Blue cave,2024-10-18,N/A,5.4,7258.0,Drama,2024,movie
Canary Black,2024-10-24,R,5.4,13538.0,"Action, Drama, Thriller",2024,movie
Apocalypse Z: The Beginning of the End,2024-10-31,N/A,6.1,22936.0,"Action, Horror, Sci-Fi",2024,movie
Libre,2024-11-01,PG,5.9,101384.0,"Comedy, Family, Sport",2006,movie
Pimpinero: Blood and Oil,2024-11-22,R,5.7,498.0,"Action, Adventure, Drama",2024,movie
The Red Virgin,2024-12-05,N/A,7.3,188.0,"Short, Drama",2011,movie
Agni,2024-12-06,N/A,7.1,15411.0,"Action, Drama",2024,movie
Christmas in Lagos,2024-12-20,N/A,4.8,195.0,"Comedy, Romance",2024,movie
The Gardener,2025-01-10,TV-MA,6.3,4603.0,"Drama, Mystery, Thriller",2025,series
Unstoppable,2025-01-16,PG-13,6.8,218128.0,"Action, Thriller",2010,movie
The Calendar Killer,2025-01-16,N/A,5.4,4475.0,"Crime, Thriller",2024,movie
You're Cordially Invited,2025-01-30,R,5.5,29356.0,"Comedy, Romance",2025,movie
The Mehta Boys,2025-02-07,N/A,7.1,3010.0,Drama,2024,movie
My Fault: London,2025-02-13,N/A,6.2,13668.0,"Drama, Romance",2025,movie
Broken Rage,2025-02-13,N/A,6.1,1755.0,"Comedy, Crime, Drama",2024,movie
Picture This,2025-03-06,PG-13,5.1,11378.0,"Comedy, Drama, Romance",2008,movie
Be Happy,2025-03-14,N/A,6.5,1368.0,Drama,2025,movie
Duplicity,2025-03-20,PG-13,6.1,53429.0,"Comedy, Crime, Romance",2009,movie
Holland,2025-03-27,R,5.0,17456.0,"Crime, Drama, Mystery",2025,movie
Carjackers,2025-03-28,N/A,5.0,1375.0,Action,2025,movie
G20,2025-04-10,R,5.1,25523.0,"Action, Thriller",2025,movie
Chhorii 2,2025-04-11,N/A,4.6,1433.0,Horror,2025,movie
1992,2025-04-12,R,5.7,3805.0,"Action, Drama, Thriller",2022,movie
Another Simple Favor,2025-05-01,R,5.3,29619.0,"Comedy, Crime, Mystery",2025,movie
Tin Soldier,2025-05-08,N/A,3.4,2254.0,"Action, Thriller",2025,movie
Un mariage sans fin,2025-05-30,N/A,4.9,400.0,"Comedy, Fantasy, Romance",2025,movie
Stolen,2025-06-04,R,5.5,47223.0,"Action, Crime, Thriller",2012,movie
Deep Cover,2025-06-12,R,6.7,44508.0,"Action, Comedy, Crime",2025,movie
Heads of State,2025-07-02,PG-13,6.4,67993.0,"Action, Adventure, Comedy",2025,movie
Uppu Kappurambu,2025-07-04,N/A,5.5,655.0,Comedy,2025,movie
Sniper: The Last Stand,2025-07-07,R,4.8,1437.0,Action,2025,movie
Follow,2025-07-18,TV-MA,4.7,844.0,"Horror, Thriller",2015,movie
War of the Worlds,2025-07-30,PG-13,6.6,502091.0,"Action, Adventure, Sci-Fi",2005,movie
The Pickup,2025-08-06,R,5.4,13646.0,"Action, Comedy",2025,movie
The Map That Leads to You,2025-08-20,PG-13,6.2,12831.0,"Drama, Romance",2025,movie
Enemies,2025-08-29,R,6.9,333880.0,"Biography, Crime, Drama",2009,movie
McWalter,2025-09-12,N/A,4.9,754.0,"Action, Comedy",2025,movie
Play Dirty,2025-10-01,R,5.9,26133.0,"Action, Crime, Drama",2025,movie
Maintenance Required,2025-10-08,PG-13,5.2,3453.0,"Comedy, Romance",2025,movie
Host,2025-10-23,Not Rated,6.5,45026.0,"Horror, Mystery",2020,movie
Hedda,2025-10-29,R,5.8,4337.0,"Drama, Romance",2025,movie
Finding Joy,2025-11-05,TV-14,6.3,751.0,Comedy,2018,series
Playdate,2025-11-12,PG-13,5.5,25282.0,"Action, Comedy",2025,movie
Oh. What. Fun.,2025-12-03,PG-13,5.3,14243.0,Comedy,2025,movie
Merv,2025-12-10,PG,5.5,3551.0,"Comedy, Romance",2025,movie
Tell Me Softly,2025-12-12,N/A,4.7,1398.0,Drama,2025,movie
Trap House,2025-12-31,R,5.4,4500.0,"Action, Crime",2025,movie
The Tiger,2026-01-02,Not Rated,7.2,7416.0,"Action, Adventure, Drama",2015,movie
Cheekatilo,2026-01-23,N/A,6.2,8638.0,"Crime, Drama, Thriller",2026,movie
The Wrecking Crew,2026-01-28,R,6.4,45325.0,"Action, Comedy, Crime",2026,movie
Relationship Goals,2026-02-04,PG-13,4.6,1056.0,"Comedy, Romance",2026,movie
Love Me Love Me,2026-02-13,N/A,4.2,2971.0,"Drama, Romance",2026,movie
The Bluff,2026-02-25,R,5.8,16090.0,"Action, Adventure, Drama",2026,movie
Zeta,2026-03-20,N/A,4.8,352.0,Drama,2016,movie
Pretty Lethal,2026-03-25,R,5.8,10515.0,"Action, Horror, Thriller",2026,movie
Candy and the Pizza Ggirl,2026-04-10,N/A,4.9,32.0,"Comedy, Crime, Drama",2026,movie
Balls Up,2026-04-15,R,4.7,11568.0,"Action, Comedy, Crime",2026,movie
Vengeance,2026-04-22,R,6.8,41397.0,"Comedy, Music, Mystery",2022,movie
No Place to Be Single,2026-05-08,TV-MA,5.3,585.0,"Comedy, Romance",2026,movie
System,2026-05-22,N/A,7.8,16068.0,Drama,2019,movie
Summer House,2026-06-06,TV-14,6.6,1159.0,Reality-TV,2017,series
Andy Murray: Resurfacing,2019-11-29,N/A,7.8,1335.0,"Documentary, Sport",2019,movie
Amaia: Una vuelta al sol,2020-05-01,N/A,7.9,116.0,Documentary,2020,movie
All In: The Fight for Democracy,2020-09-18,PG-13,6.9,2076.0,Documentary,2020,movie
Kiss the Ground,2020-09-22,PG,8.1,8095.0,Documentary,2020,movie
Ferro,2020-11-06,N/A,6.3,354.0,Documentary,2020,movie
Bastille: ReOrchestrated,2021-02-10,N/A,7.9,118.0,"Documentary, Music",2021,movie
The Boy from Medellín,2021-05-07,R,6.1,683.0,"Documentary, Biography, Music",2020,movie
Mary J. Blige's My Life,2021-06-25,R,6.7,645.0,Documentary,2021,movie
Val,2021-08-06,R,7.5,14820.0,"Documentary, Biography",2021,movie
The Tiger Mafia,2021-08-14,N/A,7.4,61.0,Documentary,2016,movie
My Name Is Pauli Murray,2021-10-01,PG-13,7.1,517.0,"Documentary, Biography",2021,movie
Justin Bieber: Our World,2021-10-08,PG,5.0,950.0,"Documentary, Music",2021,movie
A Man Named Scott,2021-11-05,N/A,7.7,1787.0,"Documentary, Music",2021,movie
Mayor Pete,2021-11-12,R,5.3,1641.0,Documentary,2021,movie
Burning,2021-11-25,Not Rated,7.4,85033.0,"Drama, Mystery, Thriller",2018,movie
Lucy and Desi,2022-03-04,PG,7.7,3228.0,"Documentary, Biography, Comedy",2022,movie
Kick Like Tayla,2022-06-16,N/A,6.2,105.0,Documentary,2022,movie
Good Night Oppy,2022-11-23,PG,7.7,5333.0,Documentary,2022,movie
Wildcat,2022-12-30,R,7.7,3522.0,Documentary,2022,movie
KSI: In Real Life,2023-01-26,N/A,7.0,1804.0,Documentary,2023,movie
Reggie,2023-03-24,PG-13,7.1,845.0,"Documentary, Sport",2023,movie
Judy Blume Forever,2023-04-21,16+,7.6,962.0,"Documentary, Biography",2023,movie
Mr. Dressup: The Magic of Make-Believe,2023-10-10,N/A,8.5,545.0,Documentary,2023,movie
Silver Dollar Road,2023-10-13,PG,6.6,461.0,Documentary,2023,movie
Hot Potato: The Story of the Wiggles,2023-10-23,Not Rated,8.0,610.0,Documentary,2023,movie
Maxine's Baby: The Tyler Perry Story,2023-11-17,PG-13,7.6,534.0,"Documentary, Biography",2023,movie
Victoria's Secret: The Tour '23,2023-12-01,N/A,2.3,274.0,Documentary,2023,movie
The Greatest Love Story Never Told,2024-02-27,R,5.0,1468.0,Documentary,2024,movie
Frida,2024-03-14,R,7.3,100861.0,"Biography, Drama, Romance",2002,movie
For Love & Life: No Ordinary Campaign,2024-05-28,PG-13,6.6,39393.0,"Drama, Romance, Sport",1999,movie
Federer: Twelve Final Days,2024-06-20,R,7.3,4172.0,"Documentary, Biography, Sport",2024,movie
I Am: Celine Dion,2024-06-25,PG,7.7,7639.0,"Documentary, Biography, Music",2024,movie
